"school","treat","female","nonwhite","ses","pretest","posttest","region","private","urban"
1,1,0,0,1,52,54,1,0,1
1,1,0,0,1,58,71,1,0,1
1,1,0,1,1,49,55,1,0,1
1,1,1,0,1,50,54,1,0,1
1,1,0,0,1,60,65,1,0,1
1,1,0,0,1,71,91,1,0,1
1,1,1,0,1,41,50,1,0,1
1,1,0,1,1,67,72,1,0,1
1,1,1,0,1,42,55,1,0,1
1,1,0,0,1,56,55,1,0,1
1,1,1,0,1,28,33,1,0,1
1,1,0,1,1,58,58,1,0,1
1,1,0,1,1,55,60,1,0,1
1,1,0,0,1,38,53,1,0,1
1,1,0,0,1,46,54,1,0,1
1,1,0,0,1,46,52,1,0,1
1,1,0,0,1,72,79,1,0,1
1,1,0,0,1,43,38,1,0,1
1,1,0,0,1,76,88,1,0,1
1,1,1,1,1,19,28,1,0,1
1,1,0,0,1,51,53,1,0,1
1,1,0,0,1,70,85,1,0,1
1,1,1,0,1,49,54,1,0,1
1,1,1,0,1,39,44,1,0,1
1,1,0,0,1,68,86,1,0,1
1,1,1,0,1,45,50,1,0,1
1,1,1,1,1,35,35,1,0,1
1,1,1,0,1,63,72,1,0,1
1,1,0,0,1,58,72,1,0,1
1,1,0,1,0,75,85,1,0,1
1,1,1,0,0,53,62,1,0,1
1,1,1,1,1,55,56,1,0,1
1,1,0,0,1,49,75,1,0,1
1,1,0,1,1,50,53,1,0,1
1,1,1,0,1,52,57,1,0,1
1,1,1,0,1,39,35,1,0,1
1,1,0,0,1,63,66,1,0,1
1,1,1,0,1,64,75,1,0,1
1,1,0,0,1,57,67,1,0,1
1,1,0,0,1,61,75,1,0,1
1,1,1,0,0,72,85,1,0,1
1,1,1,1,1,73,76,1,0,1
1,1,1,0,1,60,74,1,0,1
1,1,0,0,1,43,46,1,0,1
1,1,0,0,1,57,63,1,0,1
1,1,1,0,1,49,54,1,0,1
2,1,0,0,1,61,67,1,0,1
2,1,1,0,1,54,58,1,0,1
2,1,1,0,1,61,76,1,0,1
2,1,1,0,1,66,78,1,0,1
2,1,1,0,1,62,67,1,0,1
2,1,1,0,0,42,47,1,0,1
2,1,1,0,1,60,68,1,0,1
2,1,1,1,1,47,60,1,0,1
2,1,1,0,1,57,66,1,0,1
2,1,0,1,1,54,58,1,0,1
2,1,1,1,1,69,81,1,0,1
2,1,0,0,1,53,61,1,0,1
2,1,0,0,1,53,59,1,0,1
2,1,0,1,1,51,61,1,0,1
2,1,0,0,1,52,55,1,0,1
2,1,1,1,1,58,71,1,0,1
2,1,0,0,1,53,60,1,0,1
2,1,1,1,1,62,64,1,0,1
2,1,0,0,1,47,58,1,0,1
2,1,0,0,1,66,72,1,0,1
2,1,0,0,0,47,51,1,0,1
2,1,1,0,1,37,43,1,0,1
2,1,1,1,0,65,76,1,0,1
2,1,0,1,1,52,55,1,0,1
2,1,0,0,1,63,72,1,0,1
2,1,0,0,1,68,77,1,0,1
2,1,1,1,0,63,76,1,0,1
2,1,0,0,1,54,64,1,0,1
2,1,1,0,1,59,74,1,0,1
2,1,0,0,1,45,59,1,0,1
2,1,0,0,1,52,66,1,0,1
2,1,0,0,1,71,83,1,0,1
2,1,1,0,1,47,56,1,0,1
2,1,1,0,1,57,72,1,0,1
2,1,0,0,0,55,55,1,0,1
2,1,1,0,1,60,71,1,0,1
2,1,0,1,1,60,72,1,0,1
2,1,0,0,0,52,52,1,0,1
2,1,1,0,1,55,58,1,0,1
2,1,1,0,1,55,61,1,0,1
2,1,0,1,1,52,61,1,0,1
2,1,1,0,1,45,45,1,0,1
2,1,1,0,1,68,81,1,0,1
2,1,1,0,1,49,60,1,0,1
2,1,1,0,1,59,73,1,0,1
2,1,0,0,1,39,40,1,0,1
2,1,1,1,1,69,76,1,0,1
2,1,0,0,1,44,50,1,0,1
2,1,1,0,1,58,63,1,0,1
2,1,1,0,1,57,64,1,0,1
2,1,0,0,1,55,69,1,0,1
2,1,1,0,0,61,71,1,0,1
2,1,1,0,1,70,84,1,0,1
2,1,1,0,1,54,62,1,0,1
2,1,1,0,1,54,61,1,0,1
2,1,0,1,1,66,70,1,0,1
2,1,1,0,1,66,79,1,0,1
2,1,1,0,1,54,58,1,0,1
2,1,0,0,1,43,43,1,0,1
2,1,0,0,1,55,69,1,0,1
2,1,0,0,1,63,62,1,0,1
2,1,1,0,1,73,86,1,0,1
2,1,0,0,1,50,65,1,0,1
2,1,1,0,1,53,60,1,0,1
2,1,1,0,1,46,46,1,0,1
2,1,0,0,1,52,59,1,0,1
2,1,0,1,0,59,70,1,0,1
2,1,0,0,1,61,69,1,0,1
2,1,0,1,1,63,65,1,0,1
2,1,1,0,1,52,55,1,0,1
2,1,1,0,1,51,52,1,0,1
2,1,0,0,1,63,70,1,0,1
2,1,0,1,1,48,54,1,0,1
2,1,0,0,1,53,58,1,0,1
2,1,0,0,1,54,62,1,0,1
2,1,1,0,1,30,33,1,0,1
2,1,0,1,0,61,64,1,0,1
2,1,0,0,1,49,61,1,0,1
2,1,1,0,1,60,70,1,0,1
2,1,0,1,0,48,55,1,0,1
2,1,0,0,1,64,79,1,0,1
3,0,0,0,0,63,68,1,0,1
3,0,0,1,1,32,37,1,0,1
3,0,0,0,1,57,60,1,0,1
3,0,1,1,1,56,59,1,0,1
3,0,1,0,0,50,51,1,0,1
3,0,1,1,1,44,49,1,0,1
3,0,0,1,0,29,33,1,0,1
3,0,0,0,1,40,43,1,0,1
3,0,1,1,0,73,73,1,0,1
3,0,1,1,1,57,62,1,0,1
3,0,0,0,1,45,41,1,0,1
3,0,0,0,0,78,79,1,0,1
3,0,1,1,0,46,52,1,0,1
3,0,1,0,0,36,42,1,0,1
3,0,0,0,0,44,42,1,0,1
3,0,1,0,0,46,47,1,0,1
3,0,1,0,1,52,54,1,0,1
3,0,0,0,0,58,51,1,0,1
3,0,1,1,1,54,52,1,0,1
3,0,0,0,0,56,57,1,0,1
3,0,1,1,1,60,61,1,0,1
3,0,0,1,1,55,56,1,0,1
3,0,0,1,1,38,45,1,0,1
3,0,0,0,1,66,61,1,0,1
3,0,0,0,0,45,46,1,0,1
3,0,1,0,1,72,77,1,0,1
4,0,0,1,0,58,62,1,0,1
4,0,1,1,1,67,70,1,0,1
4,0,1,0,0,66,59,1,0,1
4,0,1,0,1,60,63,1,0,1
4,0,0,0,1,58,64,1,0,1
4,0,0,0,1,61,68,1,0,1
4,0,0,1,0,51,46,1,0,1
4,0,0,0,1,56,58,1,0,1
4,0,0,0,1,54,54,1,0,1
4,0,0,0,1,48,51,1,0,1
4,0,0,0,1,51,50,1,0,1
4,0,0,0,1,55,59,1,0,1
4,0,1,1,0,50,49,1,0,1
4,0,1,0,1,64,71,1,0,1
4,0,1,1,0,62,64,1,0,1
4,0,1,1,0,62,71,1,0,1
