"school","treat","female","nonwhite","ses","pretest","posttest","region","private","urban"
1,0,0,0,1,54,61,1,0,1
1,0,0,0,1,56,66,1,0,1
1,0,1,0,1,62,64,1,0,1
1,0,0,0,0,71,78,1,0,1
1,0,1,1,1,37,39,1,0,1
1,0,0,0,1,56,67,1,0,1
1,0,0,0,0,61,65,1,0,1
1,0,1,0,1,53,40,1,0,1
1,0,0,0,1,58,63,1,0,1
1,0,1,0,1,72,79,1,0,1
1,0,0,0,1,54,55,1,0,1
1,0,1,0,0,44,52,1,0,1
1,0,0,0,1,61,71,1,0,1
1,0,0,0,1,59,64,1,0,1
1,0,0,0,0,43,49,1,0,1
1,0,0,0,1,58,72,1,0,1
1,0,1,0,1,52,58,1,0,1
1,0,0,0,1,66,79,1,0,1
1,0,0,1,1,46,57,1,0,1
1,0,1,0,1,64,68,1,0,1
1,0,1,0,0,36,37,1,0,1
1,0,1,0,1,65,76,1,0,1
1,0,0,0,1,51,63,1,0,1
1,0,1,0,0,48,49,1,0,1
1,0,0,0,1,62,69,1,0,1
1,0,0,0,1,77,88,1,0,1
1,0,1,0,1,54,65,1,0,1
1,0,1,0,1,49,55,1,0,1
1,0,1,0,1,49,43,1,0,1
1,0,0,0,1,53,60,1,0,1
1,0,1,1,1,58,55,1,0,1
1,0,1,0,0,62,64,1,0,1
1,0,1,0,1,38,34,1,0,1
1,0,1,0,1,31,35,1,0,1
1,0,1,0,1,43,39,1,0,1
1,0,1,0,1,49,49,1,0,1
1,0,0,1,1,56,56,1,0,1
1,0,0,0,0,60,59,1,0,1
1,0,0,0,1,56,61,1,0,1
1,0,0,0,1,68,80,1,0,1
1,0,1,1,1,52,52,1,0,1
1,0,1,0,1,45,42,1,0,1
1,0,0,0,1,63,72,1,0,1
1,0,1,0,1,48,46,1,0,1
1,0,0,0,1,49,48,1,0,1
1,0,0,0,1,63,71,1,0,1
1,0,0,0,1,59,62,1,0,1
1,0,1,1,1,47,48,1,0,1
1,0,0,0,1,78,70,1,0,1
1,0,0,0,1,55,52,1,0,1
1,0,0,0,1,40,45,1,0,1
1,0,0,0,1,61,60,1,0,1
1,0,0,0,1,67,79,1,0,1
1,0,0,0,1,51,56,1,0,1
1,0,0,1,0,55,61,1,0,1
1,0,0,1,1,47,52,1,0,1
1,0,0,0,0,56,60,1,0,1
1,0,0,0,1,44,48,1,0,1
1,0,0,1,0,46,50,1,0,1
1,0,1,0,1,36,44,1,0,1
1,0,0,0,1,69,75,1,0,1
1,0,1,0,1,45,46,1,0,1
1,0,0,0,1,56,68,1,0,1
1,0,1,1,1,58,58,1,0,1
1,0,1,0,1,46,46,1,0,1
1,0,1,0,1,65,75,1,0,1
1,0,0,0,1,57,59,1,0,1
1,0,0,0,1,70,79,1,0,1
1,0,1,0,0,53,54,1,0,1
1,0,1,0,1,55,48,1,0,1
1,0,0,1,1,62,68,1,0,1
1,0,0,0,1,65,73,1,0,1
1,0,1,0,1,56,55,1,0,1
1,0,0,1,1,48,49,1,0,1
1,0,0,1,1,49,47,1,0,1
1,0,0,0,1,45,48,1,0,1
1,0,0,0,1,38,35,1,0,1
1,0,1,0,1,47,52,1,0,1
1,0,0,0,1,35,38,1,0,1
1,0,0,0,1,68,75,1,0,1
1,0,0,0,0,35,33,1,0,1
1,0,1,1,0,66,72,1,0,1
1,0,0,0,0,50,57,1,0,1
1,0,0,0,1,62,63,1,0,1
1,0,0,0,1,51,56,1,0,1
1,0,1,0,0,49,46,1,0,1
1,0,1,0,1,39,42,1,0,1
1,0,1,0,1,68,71,1,0,1
1,0,1,0,1,31,33,1,0,1
1,0,0,0,1,67,72,1,0,1
1,0,1,0,1,51,47,1,0,1
1,0,1,0,1,54,60,1,0,1
1,0,1,0,0,56,55,1,0,1
1,0,0,0,1,55,66,1,0,1
1,0,0,0,1,64,69,1,0,1
1,0,0,0,0,50,57,1,0,1
1,0,1,0,1,67,69,1,0,1
1,0,1,0,1,43,44,1,0,1
1,0,1,0,1,61,56,1,0,1
1,0,1,0,1,53,50,1,0,1
1,0,0,0,1,57,56,1,0,1
1,0,1,0,1,45,49,1,0,1
1,0,1,0,0,54,59,1,0,1
1,0,1,1,1,74,80,1,0,1
1,0,0,0,1,48,46,1,0,1
1,0,0,0,1,56,58,1,0,1
