"school","treat","female","nonwhite","ses","pretest","posttest","region","private","urban"
1,1,1,0,1,54,60,1,0,1
1,1,1,0,1,48,58,1,0,1
1,1,0,0,0,56,72,1,0,1
1,1,1,0,0,69,79,1,0,1
1,1,1,0,1,57,69,1,0,1
1,1,1,0,1,54,66,1,0,1
1,1,0,0,1,50,56,1,0,1
1,1,0,0,1,63,72,1,0,1
1,1,0,0,1,63,73,1,0,1
1,1,1,0,1,51,56,1,0,1
1,1,1,0,1,59,59,1,0,1
1,1,0,1,0,63,69,1,0,1
1,1,0,0,1,58,65,1,0,1
1,1,0,1,1,57,67,1,0,1
1,1,0,0,1,64,80,1,0,1
1,1,1,0,1,47,47,1,0,1
1,1,1,0,0,69,80,1,0,1
1,1,1,1,1,43,39,1,0,1
1,1,1,1,1,39,46,1,0,1
1,1,1,0,1,60,75,1,0,1
1,1,1,0,1,53,56,1,0,1
1,1,0,0,1,54,70,1,0,1
1,1,1,0,1,45,52,1,0,1
2,1,0,1,1,56,63,1,0,1
2,1,1,0,1,53,57,1,0,1
2,1,0,0,1,32,30,1,0,1
2,1,0,0,1,70,79,1,0,1
2,1,1,0,0,53,61,1,0,1
2,1,0,0,1,62,67,1,0,1
2,1,0,0,1,55,59,1,0,1
2,1,0,0,1,61,69,1,0,1
2,1,1,1,1,44,43,1,0,1
2,1,0,0,1,57,63,1,0,1
2,1,1,0,1,62,69,1,0,1
2,1,0,0,1,64,76,1,0,1
2,1,0,1,1,42,42,1,0,1
2,1,0,0,1,46,64,1,0,1
2,1,0,0,1,59,69,1,0,1
2,1,0,0,1,65,72,1,0,1
2,1,1,0,1,51,57,1,0,1
2,1,1,0,1,49,55,1,0,1
2,1,0,1,0,46,52,1,0,1
2,1,1,0,1,39,44,1,0,1
2,1,1,0,1,41,48,1,0,1
2,1,1,1,0,70,68,1,0,1
2,1,1,0,1,54,69,1,0,1
2,1,1,0,0,53,64,1,0,1
2,1,0,0,1,69,80,1,0,1
2,1,1,0,1,70,75,1,0,1
2,1,0,0,1,72,85,1,0,1
2,1,1,0,0,63,70,1,0,1
2,1,1,0,1,58,66,1,0,1
2,1,0,0,1,43,56,1,0,1
2,1,0,0,0,54,64,1,0,1
2,1,1,0,1,60,71,1,0,1
2,1,1,1,1,48,50,1,0,1
2,1,1,0,1,38,45,1,0,1
2,1,0,0,1,60,64,1,0,1
2,1,1,0,1,64,81,1,0,1
2,1,1,1,1,70,75,1,0,1
2,1,1,0,1,70,84,1,0,1
2,1,0,0,0,64,74,1,0,1
2,1,1,1,1,57,60,1,0,1
2,1,0,0,1,49,50,1,0,1
2,1,0,0,1,46,54,1,0,1
2,1,1,0,0,54,68,1,0,1
2,1,0,0,1,50,48,1,0,1
2,1,1,0,0,60,68,1,0,1
2,1,1,0,1,50,56,1,0,1
2,1,1,1,1,46,52,1,0,1
2,1,0,0,1,57,68,1,0,1
2,1,1,0,1,53,59,1,0,1
2,1,0,1,1,51,58,1,0,1
2,1,1,0,0,47,55,1,0,1
2,1,0,0,1,34,33,1,0,1
2,1,1,0,1,42,48,1,0,1
2,1,1,0,1,51,62,1,0,1
2,1,0,0,1,57,74,1,0,1
2,1,0,0,1,51,55,1,0,1
2,1,1,1,1,50,57,1,0,1
2,1,1,0,1,42,53,1,0,1
2,1,0,0,1,57,57,1,0,1
2,1,1,1,0,59,64,1,0,1
2,1,0,1,1,46,59,1,0,1
2,1,1,0,1,65,78,1,0,1
2,1,1,0,1,47,59,1,0,1
2,1,1,0,1,65,67,1,0,1
2,1,1,0,1,60,66,1,0,1
2,1,0,0,1,55,73,1,0,1
2,1,0,0,1,54,54,1,0,1
2,1,1,0,1,61,74,1,0,1
2,1,0,1,1,57,62,1,0,1
2,1,1,0,1,72,81,1,0,1
2,1,0,0,1,51,60,1,0,1
2,1,1,0,1,53,65,1,0,1
2,1,0,0,1,65,77,1,0,1
2,1,1,0,1,60,69,1,0,1
2,1,0,0,1,58,67,1,0,1
2,1,1,0,1,72,84,1,0,1
2,1,1,1,1,56,64,1,0,1
2,1,0,0,0,55,58,1,0,1
2,1,1,0,0,70,80,1,0,1
2,1,0,0,1,58,69,1,0,1
2,1,0,1,1,43,48,1,0,1
3,0,0,0,1,52,58,1,0,1
3,0,0,1,0,49,52,1,0,1
3,0,0,0,1,49,50,1,0,1
3,0,1,0,1,57,59,1,0,1
3,0,0,0,0,58,62,1,0,1
3,0,0,0,0,63,63,1,0,1
3,0,0,0,1,49,56,1,0,1
3,0,1,0,0,54,56,1,0,1
3,0,1,0,1,48,51,1,0,1
3,0,0,0,1,48,54,1,0,1
3,0,0,0,1,45,55,1,0,1
3,0,0,0,1,48,52,1,0,1
3,0,0,0,1,47,50,1,0,1
3,0,0,0,1,46,49,1,0,1
3,0,0,0,0,60,68,1,0,1
3,0,1,0,1,66,67,1,0,1
3,0,1,0,1,46,46,1,0,1
3,0,0,1,1,52,49,1,0,1
3,0,0,0,1,55,63,1,0,1
3,0,0,0,0,62,73,1,0,1
3,0,0,0,0,65,66,1,0,1
3,0,1,0,0,62,64,1,0,1
3,0,0,1,1,62,64,1,0,1
3,0,0,1,0,57,60,1,0,1
3,0,0,1,0,34,38,1,0,1
3,0,1,1,0,65,72,1,0,1
4,0,0,0,0,52,62,1,0,1
4,0,1,0,0,71,76,1,0,1
4,0,1,0,1,53,58,1,0,1
4,0,0,0,1,69,68,1,0,1
4,0,0,0,0,51,60,1,0,1
4,0,1,0,0,61,68,1,0,1
4,0,0,1,0,70,78,1,0,1
4,0,0,0,1,63,63,1,0,1
4,0,1,0,0,71,76,1,0,1
4,0,1,1,0,53,60,1,0,1
4,0,0,0,0,67,68,1,0,1
4,0,1,1,1,73,70,1,0,1
