"school","treat","female","nonwhite","ses","pretest","posttest","region","private","urban"
1,1,1,0,1,50,61,1,0,1
1,1,1,0,1,48,49,1,0,1
1,1,0,0,1,46,54,1,0,1
1,1,1,0,1,52,64,1,0,1
1,1,0,1,1,63,75,1,0,1
1,1,1,0,0,50,60,1,0,1
1,1,0,0,1,61,74,1,0,1
1,1,0,0,1,63,76,1,0,1
1,1,0,0,0,62,74,1,0,1
1,1,1,0,0,68,76,1,0,1
1,1,0,0,1,37,33,1,0,1
1,1,0,1,1,66,74,1,0,1
1,1,1,0,1,41,44,1,0,1
1,1,0,0,0,57,66,1,0,1
1,1,0,0,1,52,64,1,0,1
1,1,0,1,1,48,50,1,0,1
1,1,0,0,1,44,52,1,0,1
1,1,1,1,1,49,61,1,0,1
1,1,0,1,1,56,70,1,0,1
1,1,0,0,1,60,71,1,0,1
1,1,0,0,0,43,41,1,0,1
1,1,0,0,0,52,57,1,0,1
1,1,1,0,0,56,69,1,0,1
1,1,1,0,1,49,60,1,0,1
1,1,1,0,1,55,64,1,0,1
1,1,1,0,1,56,62,1,0,1
1,1,1,0,1,55,53,1,0,1
1,1,1,0,1,34,32,1,0,1
1,1,0,0,0,46,46,1,0,1
1,1,0,0,1,37,44,1,0,1
1,1,0,0,1,61,59,1,0,1
1,1,1,0,1,57,69,1,0,1
1,1,0,1,1,58,68,1,0,1
1,1,0,0,0,62,75,1,0,1
1,1,0,0,1,56,74,1,0,1
1,1,0,0,1,56,68,1,0,1
1,1,1,1,1,43,41,1,0,1
1,1,0,1,1,62,71,1,0,1
1,1,0,0,1,65,77,1,0,1
1,1,0,0,1,70,80,1,0,1
1,1,0,0,1,56,64,1,0,1
1,1,0,0,0,37,46,1,0,1
1,1,1,1,1,36,40,1,0,1
1,1,0,0,1,65,75,1,0,1
1,1,0,0,1,51,62,1,0,1
1,1,1,0,0,47,49,1,0,1
1,1,1,0,1,40,40,1,0,1
1,1,0,0,1,54,67,1,0,1
1,1,1,0,1,56,59,1,0,1
1,1,0,0,1,62,66,1,0,1
1,1,0,0,1,70,88,1,0,1
1,1,1,0,1,60,70,1,0,1
1,1,0,1,1,48,56,1,0,1
1,1,1,0,1,65,72,1,0,1
1,1,1,0,1,33,37,1,0,1
1,1,1,1,1,38,31,1,0,1
1,1,1,0,1,73,91,1,0,1
