"school","treat","female","nonwhite","ses","pretest","posttest","region","private","urban"
1,0,1,0,1,50,56,1,0,1
1,1,1,0,1,57,66,1,0,1
1,0,0,1,1,55,57,1,0,1
1,0,1,0,1,35,38,1,0,1
1,1,0,0,1,58,60,1,0,1
1,0,0,0,1,44,43,1,0,1
1,1,1,0,1,46,63,1,0,1
1,1,1,0,0,34,39,1,0,1
1,0,1,0,1,54,55,1,0,1
1,0,0,0,1,67,66,1,0,1
1,0,0,1,1,54,59,1,0,1
1,1,0,1,1,49,52,1,0,1
1,0,1,0,1,51,54,1,0,1
1,1,0,0,1,57,74,1,0,1
1,1,1,0,1,48,53,1,0,1
1,1,1,0,0,68,84,1,0,1
1,1,1,0,1,64,73,1,0,1
1,0,0,0,1,85,101,1,0,1
1,1,1,0,1,61,75,1,0,1
1,1,0,0,1,59,73,1,0,1
1,1,0,0,0,77,97,1,0,1
1,0,1,0,0,49,49,1,0,1
1,0,1,0,1,62,71,1,0,1
1,1,0,0,1,68,77,1,0,1
1,1,0,0,1,60,71,1,0,1
1,1,1,0,1,65,81,1,0,1
1,0,0,0,1,61,66,1,0,1
1,1,0,0,1,43,52,1,0,1
1,0,1,1,1,48,45,1,0,1
1,0,1,0,1,50,45,1,0,1
1,0,0,0,1,51,46,1,0,1
1,1,0,0,1,65,71,1,0,1
1,1,0,0,1,71,79,1,0,1
1,1,1,0,1,54,62,1,0,1
1,0,1,0,1,63,70,1,0,1
1,0,1,0,0,58,71,1,0,1
1,1,0,0,1,51,62,1,0,1
1,1,1,0,1,46,53,1,0,1
1,1,1,0,1,46,47,1,0,1
1,0,1,0,0,38,45,1,0,1
1,0,0,1,1,75,73,1,0,1
1,1,0,0,0,46,60,1,0,1
1,1,0,0,0,47,60,1,0,1
1,1,1,0,1,63,67,1,0,1
1,0,0,0,1,56,61,1,0,1
1,0,1,1,1,53,68,1,0,1
1,1,0,0,1,43,46,1,0,1
1,0,0,0,1,44,49,1,0,1
1,1,1,0,1,58,72,1,0,1
1,0,0,0,1,50,58,1,0,1
1,0,0,0,1,44,43,1,0,1
1,1,0,0,1,39,49,1,0,1
1,1,0,0,0,56,79,1,0,1
1,1,1,0,0,59,69,1,0,1
1,1,0,0,1,60,73,1,0,1
1,0,0,0,1,55,70,1,0,1
1,1,1,0,0,66,84,1,0,1
1,1,0,0,1,55,67,1,0,1
1,1,0,1,1,62,72,1,0,1
1,1,0,0,1,63,67,1,0,1
1,0,1,0,1,50,54,1,0,1
1,1,1,0,1,39,45,1,0,1
1,1,0,0,1,68,85,1,0,1
1,1,1,0,1,36,39,1,0,1
1,0,0,0,0,54,61,1,0,1
1,0,0,1,1,62,65,1,0,1
1,0,1,1,1,49,55,1,0,1
1,0,0,0,1,66,74,1,0,1
1,0,0,0,1,81,81,1,0,1
2,0,0,0,1,52,57,1,0,1
2,0,0,0,1,51,44,1,0,1
2,1,0,1,1,63,74,1,0,1
2,0,0,1,0,63,58,1,0,1
2,1,1,0,1,55,67,1,0,1
2,1,1,0,1,67,79,1,0,1
2,1,1,0,1,50,57,1,0,1
2,1,0,1,1,72,81,1,0,1
2,1,0,1,1,60,68,1,0,1
2,1,1,0,1,30,30,1,0,1
2,1,0,0,1,54,60,1,0,1
2,0,0,0,1,46,45,1,0,1
2,1,1,0,1,50,58,1,0,1
2,0,0,1,0,60,70,1,0,1
2,1,0,0,1,39,42,1,0,1
2,1,0,0,1,46,54,1,0,1
2,0,1,0,1,64,71,1,0,1
2,1,0,1,1,39,46,1,0,1
2,1,0,0,0,44,42,1,0,1
2,0,0,0,1,41,37,1,0,1
2,1,1,0,1,54,59,1,0,1
2,1,0,1,1,61,72,1,0,1
2,1,1,1,1,59,58,1,0,1
2,0,1,0,1,53,55,1,0,1
2,1,0,0,1,60,66,1,0,1
2,0,0,0,1,61,66,1,0,1
2,1,1,0,1,67,74,1,0,1
2,1,1,0,1,51,61,1,0,1
2,0,0,1,0,49,44,1,0,1
2,1,0,0,1,45,54,1,0,1
2,1,1,0,0,70,83,1,0,1
2,1,0,0,1,55,63,1,0,1
2,1,0,0,1,52,53,1,0,1
2,1,0,0,0,74,93,1,0,1
2,1,1,1,0,63,67,1,0,1
2,1,1,0,1,62,78,1,0,1
2,0,0,0,1,57,71,1,0,1
2,0,0,1,1,62,63,1,0,1
2,1,0,0,1,50,48,1,0,1
2,1,1,1,1,41,38,1,0,1
2,1,0,1,1,50,55,1,0,1
2,1,1,0,1,57,73,1,0,1
2,0,0,0,1,54,59,1,0,1
2,1,1,0,1,54,60,1,0,1
2,1,0,0,1,44,45,1,0,1
2,0,0,0,1,39,37,1,0,1
2,0,0,1,0,42,40,1,0,1
2,0,1,0,0,54,60,1,0,1
2,0,0,0,0,72,79,1,0,1
2,1,1,0,1,63,80,1,0,1
2,1,0,0,1,51,56,1,0,1
2,1,1,0,1,66,74,1,0,1
2,1,0,0,1,51,55,1,0,1
2,1,0,0,1,46,49,1,0,1
2,1,0,0,1,57,62,1,0,1
2,1,0,1,1,53,60,1,0,1
2,1,1,0,1,50,63,1,0,1
2,1,1,0,0,64,83,1,0,1
2,0,0,0,1,43,38,1,0,1
2,0,0,1,1,62,69,1,0,1
2,1,0,1,1,72,81,1,0,1
2,1,1,0,1,54,64,1,0,1
2,0,0,0,1,47,45,1,0,1
2,1,0,0,1,45,44,1,0,1
2,1,1,0,1,61,70,1,0,1
2,0,1,1,1,64,63,1,0,1
2,1,0,0,1,39,45,1,0,1
2,1,0,0,1,56,60,1,0,1
2,1,0,1,1,67,71,1,0,1
2,0,0,0,1,68,77,1,0,1
2,1,0,0,1,54,59,1,0,1
2,0,0,0,1,68,77,1,0,1
2,1,0,0,0,55,68,1,0,1
2,1,0,0,1,56,62,1,0,1
2,0,1,0,1,52,57,1,0,1
2,1,1,1,1,54,63,1,0,1
2,0,1,0,1,39,40,1,0,1
2,1,0,0,1,47,57,1,0,1
2,0,0,1,0,55,58,1,0,1
2,0,1,0,1,54,54,1,0,1
2,0,0,0,1,55,54,1,0,1
3,0,1,0,0,55,61,1,0,1
3,1,1,0,1,62,71,1,0,1
3,0,0,0,1,60,55,1,0,1
3,0,1,0,0,68,68,1,0,1
3,1,0,0,1,68,76,1,0,1
3,0,0,0,1,63,66,1,0,1
3,1,0,0,1,58,66,1,0,1
3,1,0,0,1,50,60,1,0,1
3,0,1,0,1,60,59,1,0,1
3,0,0,1,1,46,50,1,0,1
3,0,1,1,0,91,92,1,0,1
3,1,1,0,1,67,75,1,0,1
3,0,0,0,0,59,59,1,0,1
3,0,0,0,1,63,63,1,0,1
3,1,1,1,1,41,53,1,0,1
3,1,0,0,1,63,73,1,0,1
3,1,0,0,1,32,41,1,0,1
3,0,1,0,0,63,72,1,0,1
3,0,1,0,1,78,83,1,0,1
3,0,0,0,1,64,66,1,0,1
3,1,0,1,1,31,36,1,0,1
3,0,0,0,1,43,44,1,0,1
3,1,1,1,1,52,63,1,0,1
3,1,0,0,1,44,46,1,0,1
3,0,0,1,1,50,55,1,0,1
3,0,0,1,1,46,46,1,0,1
3,0,0,0,1,64,66,1,0,1
3,0,0,0,0,47,49,1,0,1
3,0,0,0,1,63,59,1,0,1
3,1,0,0,0,63,74,1,0,1
3,1,1,0,1,44,55,1,0,1
3,1,0,1,1,43,54,1,0,1
3,1,1,1,1,49,60,1,0,1
3,1,1,0,1,77,84,1,0,1
3,0,1,0,1,68,73,1,0,1
3,1,0,1,1,52,55,1,0,1
3,0,1,0,1,54,58,1,0,1
3,1,1,1,1,40,52,1,0,1
3,1,0,0,1,55,64,1,0,1
3,0,1,0,1,59,62,1,0,1
3,1,0,1,1,48,60,1,0,1
3,1,0,0,1,41,49,1,0,1
3,1,0,0,1,53,67,1,0,1
3,0,0,0,1,59,56,1,0,1
3,1,1,0,0,44,52,1,0,1
3,0,0,0,1,74,72,1,0,1
3,1,0,1,0,43,56,1,0,1
3,1,0,0,0,56,59,1,0,1
3,1,0,0,0,48,52,1,0,1
3,1,0,1,1,37,48,1,0,1
3,1,1,1,1,61,74,1,0,1
3,1,0,1,1,59,72,1,0,1
4,1,1,0,0,61,68,1,0,1
