"school","treat","female","nonwhite","ses","pretest","posttest","region","private","urban"
1,0,1,0,0,61,62,1,0,1
1,1,1,0,1,57,71,1,0,1
1,1,1,0,1,61,71,1,0,1
1,0,1,1,1,54,40,1,0,1
1,1,1,0,0,66,85,1,0,1
1,1,0,0,1,40,47,1,0,1
1,0,1,1,1,42,38,1,0,1
1,1,1,0,1,55,67,1,0,1
1,1,1,0,0,67,93,1,0,1
1,1,0,1,1,40,45,1,0,1
1,0,1,0,1,63,72,1,0,1
1,1,1,0,1,53,60,1,0,1
1,1,0,0,1,69,83,1,0,1
1,0,0,0,1,52,61,1,0,1
1,1,1,1,1,45,55,1,0,1
1,0,1,0,1,48,53,1,0,1
1,1,0,0,0,50,60,1,0,1
1,1,1,0,1,70,76,1,0,1
1,0,1,0,1,53,56,1,0,1
1,0,0,0,1,63,71,1,0,1
1,0,0,0,0,50,56,1,0,1
1,1,0,0,0,57,61,1,0,1
1,0,1,0,0,51,50,1,0,1
1,0,0,1,1,51,62,1,0,1
1,1,1,0,1,49,48,1,0,1
1,0,1,0,0,69,71,1,0,1
1,1,0,0,0,44,59,1,0,1
1,1,1,1,1,44,47,1,0,1
1,1,0,0,1,63,70,1,0,1
1,0,1,0,1,40,41,1,0,1
1,1,0,0,1,49,54,1,0,1
1,1,0,0,1,57,65,1,0,1
1,1,1,0,1,42,42,1,0,1
1,1,0,0,1,50,63,1,0,1
1,1,0,0,1,50,67,1,0,1
1,0,1,0,1,60,69,1,0,1
1,1,0,0,1,51,70,1,0,1
1,0,1,0,1,52,54,1,0,1
1,0,0,1,1,48,49,1,0,1
1,1,1,0,1,57,72,1,0,1
1,1,0,0,1,44,48,1,0,1
1,0,1,0,1,50,53,1,0,1
1,0,1,0,1,57,55,1,0,1
1,0,0,0,0,39,43,1,0,1
1,1,0,1,1,42,50,1,0,1
1,0,1,0,1,46,39,1,0,1
2,0,0,0,1,47,49,1,0,1
2,1,1,0,1,57,59,1,0,1
2,0,0,0,1,51,45,1,0,1
2,0,0,0,1,52,56,1,0,1
2,1,1,1,1,64,74,1,0,1
2,0,0,0,1,60,62,1,0,1
2,0,1,1,1,66,74,1,0,1
2,0,0,0,1,66,61,1,0,1
2,0,1,0,1,59,63,1,0,1
2,1,0,0,1,59,72,1,0,1
2,0,0,0,0,57,59,1,0,1
2,1,0,0,1,58,61,1,0,1
2,0,0,0,1,48,53,1,0,1
2,1,0,0,1,71,74,1,0,1
