"school","treat","female","nonwhite","ses","pretest","posttest","region","private","urban"
237,1,0,0,1,63,77,1,0,1
237,1,0,0,1,62,76,1,0,1
237,1,0,1,1,49,55,1,0,1
237,1,0,0,1,41,46,1,0,1
237,1,0,0,1,52,62,1,0,1
237,1,0,0,0,73,88,1,0,1
237,1,0,0,0,57,63,1,0,1
237,1,1,1,1,38,38,1,0,1
237,1,1,0,1,57,70,1,0,1
237,1,0,0,1,35,39,1,0,1
237,1,0,0,1,51,59,1,0,1
237,1,0,0,1,55,73,1,0,1
237,1,0,0,0,56,68,1,0,1
237,1,1,0,1,69,87,1,0,1
237,1,1,0,0,54,67,1,0,1
237,1,1,0,1,40,54,1,0,1
237,1,1,0,1,55,65,1,0,1
237,1,1,0,1,52,50,1,0,1
237,1,0,0,1,72,92,1,0,1
237,1,0,0,1,67,75,1,0,1
237,1,0,1,1,62,77,1,0,1
237,1,1,0,1,62,69,1,0,1
237,1,0,1,1,53,75,1,0,1
237,1,1,0,1,48,54,1,0,1
237,1,1,0,1,64,72,1,0,1
237,1,0,0,0,43,51,1,0,1
237,1,1,0,1,57,68,1,0,1
237,1,1,0,1,40,41,1,0,1
237,1,0,0,1,48,56,1,0,1
237,1,1,0,1,54,59,1,0,1
237,1,0,1,1,73,89,1,0,1
237,1,0,0,0,66,81,1,0,1
237,1,1,0,0,50,48,1,0,1
237,1,1,1,1,65,68,1,0,1
237,1,1,1,1,32,34,1,0,1
237,1,0,0,1,55,79,1,0,1
237,1,1,1,1,68,81,1,0,1
237,1,0,0,1,48,61,1,0,1
237,1,1,0,1,61,75,1,0,1
237,1,0,0,0,46,50,1,0,1
237,1,1,0,1,58,65,1,0,1
237,1,0,0,1,66,85,1,0,1
237,1,1,0,1,61,80,1,0,1
237,1,0,1,1,62,66,1,0,1
237,1,1,1,1,53,66,1,0,1
237,1,0,0,1,41,45,1,0,1
237,1,1,0,1,42,44,1,0,1
237,1,0,0,1,59,66,1,0,1
237,1,1,0,1,63,72,1,0,1
237,1,1,0,1,46,57,1,0,1
237,1,0,0,1,57,66,1,0,1
237,1,0,0,1,69,83,1,0,1
237,1,0,0,1,72,88,1,0,1
237,1,0,0,1,54,66,1,0,1
237,1,1,1,1,53,51,1,0,1
237,1,0,0,0,53,62,1,0,1
237,1,1,0,1,61,69,1,0,1
237,1,1,0,1,57,65,1,0,1
237,1,1,0,1,46,54,1,0,1
237,1,1,1,1,52,54,1,0,1
237,1,0,1,1,41,55,1,0,1
237,1,1,1,1,57,59,1,0,1
237,1,0,0,1,79,100,1,0,1
237,1,0,0,0,44,50,1,0,1
237,1,0,0,1,42,57,1,0,1
237,1,1,0,1,41,50,1,0,1
237,1,1,0,1,58,65,1,0,1
237,1,1,0,1,64,71,1,0,1
237,1,0,0,1,73,88,1,0,1
237,1,1,0,1,51,46,1,0,1
237,1,1,0,1,46,49,1,0,1
237,1,1,1,1,59,73,1,0,1
237,1,0,0,1,45,46,1,0,1
237,1,1,0,1,57,70,1,0,1
237,1,0,0,1,55,68,1,0,1
237,1,0,0,1,66,82,1,0,1
237,1,0,0,1,57,63,1,0,1
237,1,0,0,1,43,57,1,0,1
237,1,0,0,1,57,60,1,0,1
237,1,0,0,1,45,50,1,0,1
237,1,0,1,0,51,59,1,0,1
237,1,0,1,1,63,73,1,0,1
237,1,1,0,1,42,49,1,0,1
237,1,0,0,1,56,64,1,0,1
237,1,1,0,1,54,64,1,0,1
237,1,0,1,1,61,63,1,0,1
237,1,0,0,1,64,72,1,0,1
237,1,1,0,0,41,47,1,0,1
237,1,1,1,1,49,49,1,0,1
237,1,1,0,1,59,72,1,0,1
237,1,1,1,1,49,58,1,0,1
237,1,0,0,1,46,51,1,0,1
237,1,1,0,1,52,57,1,0,1
237,1,0,0,1,52,61,1,0,1
237,1,1,1,1,46,51,1,0,1
237,1,1,0,1,50,57,1,0,1
237,1,0,0,1,55,62,1,0,1
237,1,0,1,1,47,57,1,0,1
237,1,0,0,1,64,69,1,0,1
237,1,0,1,0,63,72,1,0,1
237,1,0,1,1,44,54,1,0,1
237,1,1,0,1,64,61,1,0,1
237,1,1,0,1,61,67,1,0,1
237,1,1,0,1,35,39,1,0,1
237,1,1,0,0,43,46,1,0,1
237,1,1,0,1,51,56,1,0,1
237,1,1,0,1,53,61,1,0,1
237,1,0,0,1,52,64,1,0,1
237,1,1,1,1,41,50,1,0,1
237,1,1,0,1,46,58,1,0,1
237,1,0,0,1,50,58,1,0,1
237,1,1,1,1,41,47,1,0,1
237,1,1,0,1,55,72,1,0,1
237,1,0,0,1,68,81,1,0,1
237,1,0,0,1,32,38,1,0,1
237,1,0,0,1,54,63,1,0,1
237,1,0,0,1,84,100,1,0,1
237,1,1,1,1,25,29,1,0,1
237,1,1,0,1,65,72,1,0,1
237,1,1,0,1,58,77,1,0,1
237,1,1,0,0,67,76,1,0,1
237,1,0,0,1,61,73,1,0,1
237,1,0,0,1,53,57,1,0,1
237,1,0,1,1,58,72,1,0,1
237,1,1,0,0,43,48,1,0,1
237,1,1,0,1,53,59,1,0,1
237,1,1,1,1,59,72,1,0,1
237,1,0,0,1,57,59,1,0,1
237,1,0,0,0,70,78,1,0,1
237,1,0,0,0,61,74,1,0,1
237,1,0,0,0,55,62,1,0,1
237,1,1,0,1,73,95,1,0,1
237,1,1,1,1,40,52,1,0,1
237,1,0,1,1,57,61,1,0,1
237,1,0,0,1,48,52,1,0,1
237,1,0,0,0,56,71,1,0,1
237,1,1,0,0,53,63,1,0,1
237,1,0,0,1,56,64,1,0,1
238,0,0,0,1,39,38,1,0,1
238,0,1,0,1,42,49,1,0,1
238,0,1,0,1,53,58,1,0,1
238,0,1,0,1,62,66,1,0,1
238,0,1,0,1,60,67,1,0,1
238,0,0,0,1,59,66,1,0,1
238,0,1,0,1,55,62,1,0,1
238,0,0,0,1,70,76,1,0,1
238,0,0,1,1,53,50,1,0,1
238,0,1,0,1,53,57,1,0,1
238,0,1,0,1,51,47,1,0,1
238,0,0,0,1,76,78,1,0,1
238,0,1,1,1,55,64,1,0,1
238,0,0,0,1,57,69,1,0,1
238,0,1,1,1,49,49,1,0,1
238,0,1,0,1,49,55,1,0,1
238,0,0,0,1,53,55,1,0,1
238,0,0,1,1,48,50,1,0,1
238,0,0,0,1,39,42,1,0,1
238,0,0,0,1,64,70,1,0,1
238,0,1,0,1,67,67,1,0,1
238,0,0,1,1,48,52,1,0,1
238,0,1,0,1,47,51,1,0,1
238,0,1,0,1,43,43,1,0,1
238,0,0,0,1,62,64,1,0,1
238,0,1,0,1,54,61,1,0,1
238,0,1,0,1,64,66,1,0,1
238,0,0,0,1,60,72,1,0,1
238,0,0,0,1,59,62,1,0,1
238,0,0,0,1,46,51,1,0,1
238,0,1,0,1,59,53,1,0,1
238,0,1,0,1,47,48,1,0,1
238,0,0,0,1,47,50,1,0,1
238,0,0,1,1,47,44,1,0,1
238,0,1,0,1,60,68,1,0,1
238,0,1,1,1,52,54,1,0,1
238,0,1,0,1,58,61,1,0,1
238,0,0,1,1,47,46,1,0,1
238,0,0,0,0,60,68,1,0,1
238,0,0,1,1,61,54,1,0,1
238,0,1,0,1,55,59,1,0,1
238,0,0,1,1,61,62,1,0,1
238,0,0,1,1,52,53,1,0,1
238,0,0,0,1,55,60,1,0,1
238,0,0,0,1,61,64,1,0,1
238,0,0,0,0,55,59,1,0,1
238,0,1,0,1,69,81,1,0,1
238,0,0,0,1,53,54,1,0,1
238,0,0,0,1,52,56,1,0,1
238,0,1,0,1,53,56,1,0,1
238,0,0,0,1,49,49,1,0,1
238,0,0,0,1,60,70,1,0,1
238,0,0,0,1,47,41,1,0,1
238,0,1,0,0,68,75,1,0,1
238,0,1,0,1,63,64,1,0,1
238,0,0,0,1,61,64,1,0,1
238,0,1,1,1,61,61,1,0,1
238,0,0,0,1,54,59,1,0,1
238,0,1,0,0,74,81,1,0,1
238,0,1,0,1,57,57,1,0,1
238,0,1,0,1,62,61,1,0,1
238,0,1,1,1,56,57,1,0,1
238,0,1,0,1,59,62,1,0,1
238,0,1,0,1,51,52,1,0,1
238,0,1,0,1,55,54,1,0,1
238,0,0,0,1,70,75,1,0,1
238,0,0,0,1,57,63,1,0,1
238,0,1,0,1,74,84,1,0,1
238,0,1,0,1,68,75,1,0,1
238,0,1,0,1,53,51,1,0,1
238,0,0,0,1,60,58,1,0,1
238,0,1,0,1,64,72,1,0,1
238,0,1,0,1,61,56,1,0,1
238,0,0,0,1,47,52,1,0,1
238,0,1,0,1,60,53,1,0,1
238,0,1,0,1,62,68,1,0,1
238,0,0,0,1,54,56,1,0,1
238,0,0,0,1,45,46,1,0,1
238,0,1,0,1,59,69,1,0,1
238,0,1,0,1,50,51,1,0,1
238,0,0,0,1,56,61,1,0,1
238,0,0,1,0,53,53,1,0,1
238,0,0,0,1,48,50,1,0,1
238,0,0,1,1,61,64,1,0,1
238,0,1,0,1,45,52,1,0,1
238,0,1,1,1,62,65,1,0,1
238,0,0,1,1,39,41,1,0,1
238,0,0,0,1,50,51,1,0,1
